Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47u","C0805",62.484000,21.488400,0.000000,top
"C1.11","0.1u","C0603",48.768000,25.425400,0.000000,top
"C1.12","0.1u","C0603",48.768000,31.394400,0.000000,top
"C1.13","0.1u","C0603",50.165000,37.363400,90.000000,top
"C1.14","0.1u","C0603",42.291000,43.840400,90.000000,top
"C1.15","0.1u","C0603",37.973000,43.840400,90.000000,top
"C1.16","0.1u","C0603",20.574000,39.522400,180.000000,top
"C1.17","0.1u","C0603",20.193000,32.613600,180.000000,top
"C1.18","0.1u","C0603",20.193000,27.965400,180.000000,top
"C1.19","0.1u","C0603",20.193000,23.774400,180.000000,top
"C1.20","0.1u","C0603",30.226000,15.519400,-90.000000,top
"C1.21","0.1u","C0603",34.671000,15.519400,-90.000000,top
"C1.22","0.1u","C0603",40.259000,15.519400,-90.000000,top
"C1.31","0.1u","C0603",48.768000,20.345400,0.000000,top
"C1.32","0.1u","C0603",48.133000,40.919400,90.000000,top
"C1.33","0.1u","C0603",45.085000,43.586400,90.000000,top
"C1.34","0.1u","C0603",35.814000,43.840400,90.000000,top
"C1.35","0.1u","C0603",21.844000,41.554400,180.000000,top
"C1.36","0.1u","C0603",20.193000,37.490400,180.000000,top
"C1.37","0.1u","C0603",20.193000,19.583400,180.000000,top
"C1.38","0.1u","C0603",23.749000,15.646400,-135.000000,top
"C1.39","0.1u","C0603",28.067000,15.519400,-90.000000,top
"C1.40","0.1u","C0603",44.831000,15.519400,-90.000000,top
"C1.51","0.1u","C0603",48.768000,22.377400,0.000000,top
"C1.52","0.1u","C0603",48.133000,37.363400,-90.000000,top
"C1.53","0.1u","C0603",26.670000,43.459400,45.000000,top
"C1.54","0.1u","C0603",20.193000,21.742400,180.000000,top
"C1.55","0.1u","C0603",42.799000,15.519400,-90.000000,top
"C2","47u","C0805",22.098000,86.385400,90.000000,top
"C3","0.1u","C0603",38.735000,78.638400,90.000000,top
"C4","0.1u","C0603",67.564000,78.130400,90.000000,top
"C11","10u","C0805",66.040000,25.552400,0.000000,top
"C12","10u","C0805",53.848000,24.155400,90.000000,top
"C13","10u","C0805",50.800000,18.313400,0.000000,top
"C14","10u","C0805",56.007000,24.155400,-90.000000,top
"C15","10u","C0805",19.304000,8.534400,-90.000000,top
"C21","10u","C0805",28.448000,70.383400,0.000000,top
"C22","10u","C0805",28.448000,68.224400,0.000000,top
"C23","10u","C0805",28.448000,66.065400,0.000000,top
"C24","10u","C0805",28.448000,72.542400,0.000000,top
"C31","0.1u","C0603",1.651000,38.760400,90.000000,top
"C32","0.1u","C0603",1.651000,35.331400,-90.000000,top
"C33","0.1u","C0603",1.651000,30.632400,-90.000000,top
"C34","0.1u","C0603",1.651000,26.568400,-90.000000,top
"C35","0.1u","C0603",1.651000,18.186400,90.000000,top
"C36","0.1u","C0603",19.431000,29.997400,0.000000,top
"C37","0.1u","C0603",19.431000,34.696400,0.000000,top
"C51","0.01u","C0603",77.470000,25.933400,0.000000,top
"C61","0.01u","C0603",74.930000,25.044400,-90.000000,top
"C71","0.1u","C0603",72.771000,34.696400,-90.000000,top
"C91","0.1u","C0603",59.944000,33.553400,180.000000,top
"C92","0.1u","C0603",70.231000,34.696400,90.000000,top
"C93","0.1u","C0603",59.944000,35.712400,180.000000,top
"C94","0.1u","C0603",66.040000,39.268400,0.000000,top
"C101","1u","C0603",62.357000,25.552400,0.000000,top
"C102","1u","C0603",58.801000,25.552400,0.000000,top
"C111","1u","C0603",8.636000,11.582400,-90.000000,top
"C112","1u","C0603",16.510000,11.582400,-90.000000,top
"C121","1u","C0603",12.446000,66.827400,-90.000000,top
"C122","1u","C0603",20.066000,66.954400,-90.000000,top
"C131","1u","C0603",23.622000,82.448400,180.000000,top
"C132","1u","C0603",23.622000,75.082400,180.000000,top
"C211","0.1u","C0603",48.768000,58.191400,-90.000000,top
"C212","0.1u","C0603",53.086000,64.668400,0.000000,top
"C213","0.1u","C0603",37.846000,74.320400,90.000000,top
"C214","0.1u","C0603",39.878000,56.413400,-90.000000,top
"C221","0.1u","C0603",53.086000,68.732400,0.000000,top
"C222","0.1u","C0603",51.816000,71.018400,0.000000,top
"C223","0.1u","C0603",34.925000,71.399400,90.000000,top
"C231","0.1u","C0603",53.086000,66.700400,0.000000,top
"C241","0.1u","C0603",40.005000,74.320400,90.000000,top
"D1","LTST-C194KRKT","CHIPLED_0805",75.819000,84.226400,180.000000,top
"D2","LTST-C194KGKT","CHIPLED_0805",78.359000,84.226400,180.000000,top
"D21","RCLAMP0524PATCT","HDMI_RCLAMP",42.672000,77.114400,0.000000,top
"D22","RCLAMP0524PATCT","HDMI_RCLAMP",45.720000,77.114400,180.000000,top
"D23","NUP4114","SOT-23-6",53.086000,76.352400,-90.000000,top
"F1","R-EU_R0603","R0603",58.293000,73.304400,90.000000,top
"FB1","MPZ1608S221A","R0603",62.230000,18.440400,135.000000,top
"FB2","MPZ1608S221A","R0603",24.257000,86.131400,-90.000000,top
"FB3","MPZ1608S221A","R0603",72.263000,25.933400,0.000000,top
"FB4","MPZ1608S221A","R0603",51.689000,23.901400,90.000000,top
"FB12","MPZ1608S221A","R0603",55.118000,19.964400,180.000000,top
"FB13","MPZ1608S221A","R0603",51.054000,16.027400,180.000000,top
"FB21","MPZ1608S221A","R0603",23.622000,70.383400,0.000000,top
"FB22","MPZ1608S221A","R0603",23.622000,68.224400,0.000000,top
"FB23","MPZ1608S221A","R0603",23.622000,66.065400,0.000000,top
"FB24","MPZ1608S221A","R0603",23.622000,72.542400,0.000000,top
"FB31","MPZ1608S221A","R0603",4.572000,14.122400,180.000000,top
"FB71","MPZ1608S221A","R0603",72.771000,37.871400,-90.000000,top
"FB91","MPZ1608S221A","R0603",59.944000,31.521400,0.000000,top
"FB92","MPZ1608S221A","R0603",61.722000,39.268400,0.000000,top
"Q1","2N2222","SOT23",73.914000,80.416400,0.000000,top
"Q2","2N2222","SOT23",77.470000,80.416400,0.000000,top
"Q3","2N2222","SOT23",54.165500,54.825900,180.000000,top
"R3","1M","R0603",36.576000,78.638400,90.000000,top
"R4","1M","R0603",69.596000,78.130400,90.000000,top
"R5","1k","R0603",56.832500,55.016400,90.000000,top
"R6","1k","R0603",54.610000,58.699400,-90.000000,top
"R7","1k","R0603",54.610000,62.001400,90.000000,top
"R8","10k","R0603",58.801000,55.016400,-90.000000,top
"R11","1k","R0603",56.388000,69.621400,90.000000,top
"R12","10k","R0603",56.642000,58.699400,90.000000,top
"R13","10k","R0603",56.642000,62.001400,-90.000000,top
"R14","33","R0603",48.768000,29.235400,180.000000,top
"R15","1k","R0603",74.422000,76.479400,-90.000000,top
"R16","330","R0603",72.390000,76.479400,-90.000000,top
"R17","1k","R0603",76.454000,76.479400,-90.000000,top
"R18","330","R0603",78.486000,76.479400,-90.000000,top
"R21","887","R0603",56.642000,65.430400,90.000000,top
"R22","10k","R0603",53.086000,79.654400,180.000000,top
"R23","2k","R0603",53.086000,73.050400,180.000000,top
"R24","2k","R0603",56.134000,74.320400,-90.000000,top
"R31","1k","R0603",1.651000,22.504400,-90.000000,top
"R41","3k09","R0603",70.231000,31.648400,-90.000000,top
"R42","1k58","R0603",70.231000,28.600400,90.000000,top
"RN11","BK32164M121-T","CTS742C083",58.166000,16.662400,-90.000000,top
"RN12","BK32164M121-T","CTS742C083",58.166000,12.852400,-90.000000,top
"RN13","BK32164M121-T","CTS742C083",58.166000,9.042400,-90.000000,top
"RN14","BK32164M121-T","CTS742C083",59.690000,5.111600,-90.000000,top
"RN15","CAY16-103J4LF","CTS742C083",30.480000,7.264400,180.000000,top
"RN16","CAY16-2201F4LF","CTS742C083",53.721000,28.600400,-90.000000,top
"RN31","CAY16-103J4LF","CTS742C083",13.716000,40.792400,0.000000,top
"U1","10M16SCE144/10M25SCE144","EQFP144_2",34.544000,29.616400,180.000000,top
"U2","ADV7513","LQFP64_EP",42.926000,65.176400,180.000000,top
"U3","MT48LC16M16A2-TSOP54","TSOP-54",10.033000,27.584400,0.000000,top
"U4","SI5356DIY","QFN-24-DIY",65.278000,34.696400,90.000000,top
"U5","ASE-50.000MHZ-LC-T ","3.2X2.5_KXO-V96",77.216000,29.870400,90.000000,top
"U6","ASE-24.576MHZ-LC-T","3.2X2.5_KXO-V96",73.406000,29.870400,90.000000,top
"U7","2G17TI_DBV","SOT-23-6",76.708000,35.712400,180.000000,top
"U10","TLV70225DBVR","SOT23-5",58.928000,28.600400,90.000000,top
"U11","TLV70025","SOT23-5",12.700000,11.836400,-90.000000,top
"U12","TLV70218DBVT","SOT23-5",16.002000,66.827400,-90.000000,top
"U13","TLV70033","SOT23-5",23.622000,78.638400,180.000000,top
"X1","Conn_01x30","FH12-30S-0.5SH",68.834000,12.090400,90.000000,top
"X2","2510-","PAK100_2500-10",14.986000,79.654400,90.000000,top
"X3","hdmi-con","685119134923",46.224000,82.575400,180.000000,top
"X4","TEI0005","TEI0005",68.834000,63.398400,90.000000,top
"X5","USB3140-30-0170-0-C ","USB-MICRO-VERTICAL-DIY",69.342000,84.988400,-90.000000,top
"Y41","7A-27.000MAAJ-T","5.0X3.2_2",65.532000,28.854400,180.000000,top
